Year,Player,Pos,Age,Tm,ORtg,DRtg
1981,Dwight Jones,PF,28,CHI,104,105
1981,Edgar Jones,PF,24,NJN,104,102
1981,Major Jones,PF,27,HOU,102,108
1981,Eddie Jordan,PG,26,TOT,91,104
1981,Eddie Jordan,PG,26,NJN,98,104
1981,Eddie Jordan,PG,26,LAL,89,104
1981,Walter Jordan,SF,24,CLE,87,107
1981,Jeff Judkins,SF,24,UTA,105,112
1981,Clarence Kea,PF,21,DAL,108,108
1981,Rich Kelley,C,27,PHO,101,97
1981,Greg Kelser,SF,23,DET,88,103
1981,Larry Kenon,SF,28,CHI,105,107
1981,Chad Kinch,SG,22,TOT,82,111
1981,Chad Kinch,SG,22,CLE,84,110
1981,Chad Kinch,SG,22,DAL,78,113
1981,Bernard King*,SF,24,GSW,116,110
1981,Reggie King,PF,23,KCK,112,102
1981,Billy Knight,SG,28,IND,117,107
1981,Joel Kramer,PF,25,PHO,108,100
1981,Wayne Kreklow,SG,24,BOS,65,106
1981,Kevin Kunnert,C,29,POR,107,103
1981,Mitch Kupchak,PF,26,WSB,107,102
1981,Sam Lacey,C,32,KCK,98,100
1981,Tom LaGarde,PF,25,DAL,101,110
1981,Bill Laimbeer,C,23,CLE,112,107
1981,John Lambert,PF,28,TOT,95,106
1981,John Lambert,PF,28,CLE,103,108
1981,John Lambert,PF,28,KCK,95,106
1981,Mark Landsberger,PF,25,LAL,105,104
1981,Bob Lanier*,C,32,MIL,113,100
1981,Edmund Lawrence,C,28,DET,119,104
1981,Allen Leavell,PG,23,HOU,99,107
1981,Ron Lee,PG,28,DET,88,101
1981,Ronnie Lester,PG,22,CHI,95,111
1981,Scott Lloyd,C,28,DAL,98,111
1981,John Long,SG,24,DET,99,106
1981,John Lucas,PG,27,GSW,100,111
1981,Maurice Lucas,PF,28,NJN,102,105
1981,Ollie Mack,SG,23,TOT,103,112
1981,Ollie Mack,SG,23,CHI,65,106
1981,Ollie Mack,SG,23,DAL,104,112
1981,Kyle Macy,PG,23,PHO,112,102
1981,Rick Mahorn,PF,22,WSB,104,98
1981,Moses Malone*,C,25,HOU,115,104
1981,Wes Matthews,PG,21,TOT,99,107
1981,Wes Matthews,PG,21,WSB,96,106
1981,Wes Matthews,PG,21,ATL,103,108
1981,Cedric Maxwell,SF,25,BOS,124,104
1981,Scott May,SF,26,CHI,109,106
1981,Bill Mayfield,SF,23,GSW,98,115
1981,Bob McAdoo*,PF,29,TOT,92,102
1981,Bob McAdoo*,PF,29,DET,82,101
1981,Bob McAdoo*,PF,29,NJN,103,104
1981,Andre McCarter,PG,27,WSB,95,106
1981,Keith McCord,SG,23,WSB,76,108
1981,Jim McElroy,PG,27,ATL,82,110
