Year,Team,Player,Pos,Ht_in,Wt,Birth_Date,Birth,Exp,College
2020,WAS,Shabazz Napier,PG,72.00,175,July 14 1991,us US,5,UConn
2020,WAS,Ish Smith,PG,72.00,175,July 5 1988,us US,9,Wake Forest
2021,WAS,Ish Smith,PG,72.00,175,July 5 1988,us US,10,Wake Forest
2022,WAS,Aaron Holiday,PG,72.00,185,30-Sep-96,us US,3,UCLA
2022,WAS,Ish Smith,PG,72.00,175,5-Jul-88,us US,11,Wake Forest
1980,WSB,Kevin Porter,PG,72.00,170,17-Apr-50,us US,7,Saint Francis University
1981,WSB,Kevin Porter,PG,72.00,170,April 17 1950,us US,8,Saint Francis University
1983,WSB,Kevin Porter,PG,72.00,170,17-Apr-50,us US,9,Saint Francis University
1993,WSB,Chris Corchiani,PG,72.00,185,March 28 1968,us US,1,NC State
1996,WSB,Chris Whitney,PG,72.00,168,5-Oct-71,us US,2,Clemson
1996,WSB,Mark Price,PG,72.00,170,15-Feb-64,us US,9,Georgia Tech
1997,WSB,Chris Whitney,PG,72.00,168,October 5 1971,us US,3,Clemson
2008,TOR,T.J. Ford,PG,72.00,165,March 24 1983,us US,3,Texas
2014,TOR,Kyle Lowry,PG,72.00,196,March 25 1986,us US,7,Villanova
2017,TOR,Kyle Lowry,PG,72.00,196,March 25 1986,us US,10,Villanova
2017,TOR,Fred VanVleet,PG,72.00,197,February 25 1994,us US,R,Wichita State
2018,TOR,Kyle Lowry,PG,72.00,196,March 25 1986,us US,11,Villanova
2018,TOR,Fred VanVleet,PG,72.00,197,February 25 1994,us US,1,Wichita State
2020,TOR,Kyle Lowry,PG,72.00,196,March 25 1986,us US,13,Villanova
2020,TOR,Shamorie Ponds,PG,72.00,180,June 29 1998,us US,R,St. John's
2020,TOR,Fred VanVleet,SG,72.00,197,February 25 1994,us US,3,Wichita State
2021,TOR,Kyle Lowry,PG,72.00,196,March 25 1986,us US,14,Villanova
2021,TOR,Fred VanVleet,SG,72.00,197,February 25 1994,us US,4,Wichita State
2023,TOR,Fred VanVleet,PG,72.00,197,February 25 1994,us US,6,Wichita State
2008,DAL,Tyronn Lue,PG,72.00,175,3-May-77,us US,9,Nebraska
2010,DAL,Rodrigue Beaubois,PG,72.00,170,24-Feb-88,gp GP,R,
2011,DAL,Rodrigue Beaubois,PG,72.00,170,24-Feb-88,gp GP,1,
2017,DAL,Yogi Ferrell,PG,72.00,178,9-May-93,us US,R,Indiana
2020,DAL,Trey Burke,PG,72.00,185,12-Nov-92,us US,6,Michigan
2023,DAL,Kemba Walker,PG,72.00,184,8-May-90,us US,11,UConn
2023,DAL,McKinley Wright IV,PG,72.00,196,25-Oct-98,us US,1,Colorado
1981,LAL,Tony Jackson,PG,72.00,170,17-Jan-58,us US,R,Florida State
2000,LAL,Tyronn Lue,PG,72.00,175,3-May-77,us US,1,Nebraska
2022,LAL,Darren Collison,PG,72.00,175,23-Aug-87,us US,10,UCLA
1990,GSW,Tim Hardaway,PG,72.00,175,1-Sep-66,us US,R,Texas-El Paso
1991,GSW,Tim Hardaway,PG,72.00,175,1-Sep-66,us US,1,Texas-El Paso
1993,GSW,Tim Hardaway,PG,72.00,175,1-Sep-66,us US,3,Texas-El Paso
1996,GSW,Tim Hardaway,PG,72.00,175,1-Sep-66,us US,5,Texas-El Paso
1997,GSW,Mark Price,PG,72.00,170,15-Feb-64,us US,10,Georgia Tech
2000,GSW,Mookie Blaylock,PG,72.00,180,20-Mar-67,us US,10,"Midland College, Oklahoma"
2006,GSW,Will Bynum,PG,72.00,185,4-Jan-83,us US,R,"Arizona, Georgia Tech"
2012,GSW,Ish Smith,PG,72.00,175,5-Jul-88,us US,1,Wake Forest
1994,PHO,Elliot Perry,PG,72.00,150,28-Mar-69,us US,1,Memphis
1996,PHO,Elliot Perry,PG,72.00,150,28-Mar-69,us US,3,Memphis
2009,PHO,Dee Brown,PG,72.00,185,17-Aug-84,us US,1,Illinois
2009,PHO,Sean Singletary,PG,72.00,185,6-Sep-85,us US,R,Virginia
2012,PHO,Sebastian Telfair,PG,72.00,165,9-Jun-85,us US,7,
2013,PHO,Sebastian Telfair,PG,72.00,165,9-Jun-85,us US,8,
2019,PHO,Isaiah Canaan,PG,72.00,201,21-May-91,us US,5,Murray State
2019,PHO,Jawun Evans,PG,72.00,185,26-Jul-96,us US,1,Oklahoma State
2022,PHO,Aaron Holiday,PG,72.00,185,30-Sep-96,us US,3,UCLA
2022,PHO,Chris Paul,PG,72.00,175,6-May-85,us US,16,Wake Forest
2016,CHI,Aaron Brooks,PG,72.00,161,14-Jan-85,us US,7,Oregon
1984,IND,Sidney Lowe,PG,72.00,195,21-Jan-60,us US,R,NC State
1990,IND,Rickey Green,PG,72.00,170,18-Aug-54,us US,11,"Vincennes University, Michigan"
2003,IND,Tim Hardaway,PG,72.00,175,1-Sep-66,us US,12,Texas-El Paso
2006,IND,Eddie Gill,PG,72.00,190,16-Aug-78,us US,4,Weber State
2007,IND,Darrell Armstrong,PG,72.00,170,22-Jun-68,us US,12,Fayetteville State University
2009,IND,T.J. Ford,PG,72.00,165,24-Mar-83,us US,4,Texas
2010,IND,T.J. Ford,PG,72.00,165,24-Mar-83,us US,5,Texas
2019,IND,Darren Collison,PG,72.00,175,23-Aug-87,us US,9,UCLA
2019,IND,Aaron Holiday,PG,72.00,185,30-Sep-96,us US,R,UCLA
2020,IND,Aaron Holiday,PG,72.00,185,30-Sep-96,us US,1,UCLA
2022,IND,Keifer Sykes,PG,72.00,180,30-Dec-93,us US,R,Green Bay
1984,SDC,Billy McKinney,PG,72.00,160,5-Jun-55,us US,5,Northwestern
1997,HOU,Elmer Bennett,PG,72.00,170,13-Feb-70,us US,2,Notre Dame
2001,HOU,Sean Colson,PG,72.00,175,1-Jul-75,us US,R,"Rhode Island, UNC Charlotte"
2006,HOU,David Wesley,SG,72.00,190,14-Nov-70,us US,12,Baylor
2010,HOU,Aaron Brooks,PG,72.00,161,14-Jan-85,us US,2,Oregon
2010,HOU,Kyle Lowry,PG,72.00,196,25-Mar-86,us US,3,Villanova
2013,HOU,Aaron Brooks,PG,72.00,161,14-Jan-85,us US,4,Oregon
2019,HOU,Chris Paul,PG,72.00,175,6-May-85,us US,13,Wake Forest
2023,HOU,Trevor Hudgins,PG,72.00,180,23-Mar-99,us US,R,Northwest Missouri State University
1981,NJN,Foots Walker,PG,72.00,184,21-May-51,us US,6,"Vincennes University, West Georgia"
1982,NJN,Foots Walker,PG,72.00,184,21-May-51,us US,7,"Vincennes University, West Georgia"
1984,NJN,Foots Walker,PG,72.00,184,21-May-51,us US,9,"Vincennes University, West Georgia"
1988,NJN,John Bagley,PG,72.00,185,23-Apr-60,us US,5,Boston College
1991,NJN,Mookie Blaylock,PG,72.00,180,20-Mar-67,us US,1,"Midland College, Oklahoma"
1994,NJN,David Wesley,PG,72.00,190,14-Nov-70,us US,R,Baylor
2000,NJN,Sherman Douglas,PG,72.00,180,15-Sep-66,us US,10,Syracuse
2000,NJN,Elliot Perry,PG,72.00,150,28-Mar-69,us US,7,Memphis
2001,NJN,Sherman Douglas,PG,72.00,180,15-Sep-66,us US,11,Syracuse
2001,NJN,Eddie Gill,PG,72.00,190,16-Aug-78,us US,R,Weber State
1994,SAS,Chris Whitney,PG,72.00,168,5-Oct-71,us US,R,Clemson
2004,SAS,Shane Heal,PG,72.00,180,6-Sep-70,au AU,1,
2000,POR,Greg Anthony,PG,72.00,176,15-Nov-67,us US,8,"University of Portland, UNLV"
2001,POR,Greg Anthony,PG,72.00,176,15-Nov-67,us US,9,"University of Portland, UNLV"
2004,POR,Dan Dickau,PG,72.00,190,16-Sep-78,us US,1,"Washington, Gonzaga"
2004,POR,Eddie Gill,PG,72.00,190,16-Aug-78,us US,2,Weber State
2007,POR,Dan Dickau,PG,72.00,190,16-Sep-78,us US,4,"Washington, Gonzaga"
2016,POR,Tim Frazier,PG,72.00,170,1-Nov-90,us US,1,Penn State
2017,POR,Shabazz Napier,PG,72.00,175,14-Jul-91,us US,2,UConn
2020,POR,Jaylen Adams,PG,72.00,225,4-May-96,us US,1,St. Bonaventure
1997,MIL,Sherman Douglas,PG,72.00,180,15-Sep-66,us US,7,Syracuse
1997,MIL,Elliot Perry,PG,72.00,150,28-Mar-69,us US,4,Memphis
1998,MIL,Elliot Perry,PG,72.00,150,28-Mar-69,us US,5,Memphis
2004,MIL,T.J. Ford,PG,72.00,165,24-Mar-83,us US,R,Texas
2013,MIL,Ish Smith,PG,72.00,175,5-Jul-88,us US,2,Wake Forest
2019,MIL,Isaiah Canaan,PG,72.00,201,21-May-91,us US,5,Murray State
2019,MIL,Tim Frazier,PG,72.00,170,1-Nov-90,us US,4,Penn State
1991,PHI,Rickey Green,PG,72.00,170,18-Aug-54,us US,12,"Vincennes University, Michigan"
1997,PHI,Allen Iverson,PG,72.00,165,7-Jun-75,us US,R,Georgetown
1998,PHI,Allen Iverson,PG,72.00,165,7-Jun-75,us US,1,Georgetown
2000,PHI,Allen Iverson,SG,72.00,165,7-Jun-75,us US,3,Georgetown
2001,PHI,Allen Iverson,SG,72.00,165,7-Jun-75,us US,4,Georgetown
2004,PHI,Allen Iverson,SG,72.00,165,7-Jun-75,us US,7,Georgetown
2007,PHI,Allen Iverson,PG,72.00,165,7-Jun-75,us US,10,Georgetown
2010,PHI,Allen Iverson,SG,72.00,165,7-Jun-75,us US,13,Georgetown
2016,PHI,Isaiah Canaan,SG,72.00,201,21-May-91,us US,2,Murray State
2016,PHI,Ish Smith,PG,72.00,175,5-Jul-88,us US,5,Wake Forest
2020,PHI,Trey Burke,PG,72.00,185,12-Nov-92,us US,6,Michigan
1981,UTA,Rickey Green,PG,72.00,170,18-Aug-54,us US,2,"Vincennes University, Michigan"
1981,UTA,Billy McKinney,PG,72.00,160,5-Jun-55,us US,2,Northwestern
1982,UTA,Rickey Green,PG,72.00,170,18-Aug-54,us US,3,"Vincennes University, Michigan"
1985,UTA,Rickey Green,PG,72.00,170,18-Aug-54,us US,6,"Vincennes University, Michigan"
1988,UTA,Rickey Green,PG,72.00,170,18-Aug-54,us US,9,"Vincennes University, Michigan"
2007,UTA,Dee Brown,PG,72.00,185,17-Aug-84,us US,R,Illinois
2014,UTA,Trey Burke,PG,72.00,185,12-Nov-92,us US,R,Michigan
2016,UTA,Trey Burke,PG,72.00,185,12-Nov-92,us US,2,Michigan
2020,UTA,Mike Conley,PG,72.00,175,11-Oct-87,us US,12,Ohio State
2020,UTA,Justin Wright-Foreman,PG,72.00,190,27-Oct-97,us US,R,Hofstra
2023,UTA,Mike Conley,PG,72.00,175,11-Oct-87,us US,15,Ohio State
1982,DEN,Kenny Higgs,PG,72.00,180,31-Jan-55,us US,2,LSU
1982,DEN,Billy McKinney,PG,72.00,160,5-Jun-55,us US,3,Northwestern
1997,DEN,Elmer Bennett,PG,72.00,170,13-Feb-70,us US,2,Notre Dame
2007,DEN,Allen Iverson,SG,72.00,165,7-Jun-75,us US,10,Georgetown
2014,DEN,Aaron Brooks,PG,72.00,161,14-Jan-85,us US,5,Oregon
2016,DEN,Jameer Nelson,PG,72.00,190,9-Feb-82,us US,11,Saint Joseph's
2017,DEN,Jameer Nelson,PG,72.00,190,9-Feb-82,us US,12,Saint Joseph's
2023,DEN,Ish Smith,PG,72.00,175,5-Jul-88,us US,12,Wake Forest
1991,MIA,Sherman Douglas,PG,72.00,180,September 15 1966,us US,1,Syracuse
1992,MIA,Sherman Douglas,PG,72.00,180,September 15 1966,us US,2,Syracuse
1998,MIA,Tim Hardaway,PG,72.00,175,September 1 1966,us US,7,Texas-El Paso
2001,MIA,Tim Hardaway,PG,72.00,175,September 1 1966,us US,10,Texas-El Paso
2023,MIA,Kyle Lowry,PG,72.00,196,March 25 1986,us US,16,Villanova
2024,MIA,Kyle Lowry,PG,72.00,196,March 25 1986,us US,17,Villanova
1998,VAN,Bobby Hurley,PG,72.00,165,June 28 1971,us US,4,Duke
1994,SAC,Bobby Hurley,PG,72.00,165,June 28 1971,us US,R,Duke
1995,SAC,Bobby Hurley,PG,72.00,165,June 28 1971,us US,1,Duke
1998,SAC,Bobby Hurley,PG,72.00,165,June 28 1971,us US,4,Duke
2017,SAC,Darren Collison,PG,72.00,175,August 23 1987,us US,7,UCLA
2020,SAC,Yogi Ferrell,PG,72.00,178,May 9 1993,us US,3,Indiana
1992,ORL,Chris Corchiani,PG,72.00,185,March 28 1968,us US,R,NC State
1995,ORL,Darrell Armstrong,PG,72.00,170,June 22 1968,us US,R,Fayetteville State University
1998,ORL,Darrell Armstrong,PG,72.00,170,June 22 1968,us US,3,Fayetteville State University
1998,ORL,Mark Price,PG,72.00,170,February 15 1964,us US,11,Georgia Tech
2001,ORL,Darrell Armstrong,PG,72.00,170,June 22 1968,us US,6,Fayetteville State University
2001,ORL,Elliot Perry,PG,72.00,150,March 28 1969,us US,8,Memphis
2002,ORL,Darrell Armstrong,PG,72.00,170,June 22 1968,us US,7,Fayetteville State University
2004,ORL,Tyronn Lue,PG,72.00,175,May 3 1977,us US,5,Nebraska
2005,ORL,Jameer Nelson,PG,72.00,190,February 9 1982,us US,R,Saint Joseph's
2007,ORL,Jameer Nelson,PG,72.00,190,February 9 1982,us US,2,Saint Joseph's
2008,ORL,Jameer Nelson,PG,72.00,190,February 9 1982,us US,3,Saint Joseph's
2011,ORL,Jameer Nelson,PG,72.00,190,February 9 1982,us US,6,Saint Joseph's
2014,ORL,Jameer Nelson,PG,72.00,190,February 9 1982,us US,9,Saint Joseph's
2015,OKC,Ish Smith,PG,72.00,175,July 5 1988,us US,4,Wake Forest
2015,OKC,Sebastian Telfair,PG,72.00,165,June 9 1985,us US,9,
2005,NOH,Darrell Armstrong,PG,72.00,170,June 22 1968,us US,10,Fayetteville State University
2005,NOH,Dan Dickau,PG,72.00,190,September 16 1978,us US,2,Washington Gonzaga
2005,NOH,David Wesley,SG,72.00,190,November 14 1970,us US,11,Baylor
2008,NOH,Chris Paul,PG,72.00,175,May 6 1985,us US,2,Wake Forest
2011,NOH,Chris Paul,PG,72.00,175,May 6 1985,us US,5,Wake Forest
2015,NOP,Russ Smith,PG,72.00,165,April 19 1991,us US,R,Louisville
2018,NOP,Jameer Nelson,PG,72.00,190,February 9 1982,us US,13,Saint Joseph's
2024,NOP,Jose Alvarado,PG,72.00,179,April 12 1998,us US,2,Georgia Tech
1998,MIN,DeJuan Wheat,PG,72.00,165,October 14 1973,us US,R,Louisville
2008,MIN,Sebastian Telfair,PG,72.00,165,June 9 1985,us US,3,
2011,MIN,Jonny Flynn,PG,72.00,185,February 6 1989,us US,1,Syracuse
2011,MIN,Sebastian Telfair,PG,72.00,165,June 9 1985,us US,6,
2018,MIN,Aaron Brooks,PG,72.00,161,January 14 1985,us US,9,Oregon
2020,MIN,Jordan McLaughlin,PG,72.00,185,April 9 1996,us US,R,USC
2020,MIN,Shabazz Napier,PG,72.00,175,July 14 1991,us US,5,UConn
2021,MIN,Jordan McLaughlin,PG,72.00,185,April 9 1996,us US,1,USC
2023,MIN,Mike Conley,PG,72.00,175,October 11 1987,us US,15,Ohio State
2023,MIN,Jordan McLaughlin,PG,72.00,185,April 9 1996,us US,3,USC
2024,MIN,Mike Conley,PG,72.00,175,October 11 1987,us US,16,Ohio State
2024,MIN,Jordan McLaughlin,PG,72.00,185,April 9 1996,us US,4,USC
2002,MEM,Eddie Gill,PG,72.00,190,August 16 1978,us US,1,Weber State
2002,MEM,Elliot Perry,PG,72.00,150,March 28 1969,us US,9,Memphis
2017,BRK,Yogi Ferrell,PG,72.00,178,9-May-93,us US,R,Indiana
2015,CHO,Kemba Walker,PG,72.00,184,8-May-90,us US,3,UConn
2018,CHO,Kemba Walker,PG,72.00,184,8-May-90,us US,6,UConn
2024,CHO,Ish Smith,PG,72.00,175,5-Jul-88,us US,13,Wake Forest
1982,DET,Glenn Hagan,PG,72.00,170,25-Jun-55,us US,R,St. Bonaventure
1985,DET,Sidney Lowe,PG,72.00,195,21-Jan-60,us US,1,NC State
2007,DET,Will Blalock,PG,72.00,205,8-Sep-83,us US,R,Iowa State
2010,DET,Will Bynum,PG,72.00,185,4-Jan-83,us US,2,"Arizona, Georgia Tech"
2013,DET,Will Bynum,PG,72.00,185,4-Jan-83,us US,5,"Arizona, Georgia Tech"
2014,DET,Will Bynum,PG,72.00,185,4-Jan-83,us US,6,"Arizona, Georgia Tech"
2014,DET,Peyton Siva,SG,72.00,185,24-Oct-90,us US,R,Louisville
2017,DET,Ish Smith,PG,72.00,175,5-Jul-88,us US,6,Wake Forest
2019,DET,Ish Smith,PG,72.00,175,5-Jul-88,us US,8,Wake Forest
2020,DET,Tim Frazier,PG,72.00,170,1-Nov-90,us US,5,Penn State
2020,DET,Derrick Walton,PG,72.00,189,3-Apr-95,us US,1,Michigan
1981,KCK,Lloyd Walton,PG,72.00,160,23-Nov-53,us US,4,Marquette
1992,LAC,Elliot Perry,PG,72.00,150,28-Mar-69,us US,R,Memphis
1992,LAC,David Rivers,PG,72.00,170,20-Jan-65,us US,2,Notre Dame
2008,LAC,Dan Dickau,PG,72.00,190,16-Sep-78,us US,5,"Washington, Gonzaga"
2010,LAC,Sebastian Telfair,PG,72.00,165,9-Jun-85,us US,5,
2014,LAC,Darren Collison,PG,72.00,175,23-Aug-87,us US,4,UCLA
2014,LAC,Chris Paul,PG,72.00,175,6-May-85,us US,8,Wake Forest
2017,LAC,Chris Paul,PG,72.00,175,6-May-85,us US,11,Wake Forest
2020,LAC,Derrick Walton,PG,72.00,189,3-Apr-95,us US,1,Michigan
2008,MEM,Mike Conley,PG,72.00,175,11-Oct-87,us US,R,Ohio State
2008,MEM,Kyle Lowry,PG,72.00,196,25-Mar-86,us US,1,Villanova
2011,MEM,Mike Conley,PG,72.00,175,11-Oct-87,us US,3,Ohio State
2011,MEM,Ish Smith,PG,72.00,175,5-Jul-88,us US,R,Wake Forest
2014,MEM,Mike Conley,PG,72.00,175,11-Oct-87,us US,6,Ohio State
2015,MEM,Mike Conley,PG,72.00,175,11-Oct-87,us US,7,Ohio State
2015,MEM,Russ Smith,PG,72.00,165,19-Apr-91,us US,R,Louisville
2017,MEM,Mike Conley,PG,72.00,175,11-Oct-87,us US,9,Ohio State
2018,MEM,Mike Conley,PG,72.00,175,11-Oct-87,us US,10,Ohio State
2021,MEM,Tim Frazier,PG,72.00,170,1-Nov-90,us US,6,Penn State
2023,MEM,Kennedy Chandler,PG,72.00,171,16-Sep-02,us US,R,Tennessee
2024,MEM,Zavier Simpson,PG,72.00,190,11-Feb-97,us US,1,Michigan
1992,NYK,Greg Anthony,PG,72.00,176,15-Nov-67,us US,R,"University of Portland, UNLV"
1994,NYK,Greg Anthony,PG,72.00,176,15-Nov-67,us US,2,"University of Portland, UNLV"
1995,NYK,Greg Anthony,PG,72.00,176,15-Nov-67,us US,3,"University of Portland, UNLV"
1985,ATL,Kevin Willis,PF,84.00,220,September 6 1962,us US,R,Michigan State
1986,ATL,Jon Koncak,C,84.00,250,17-May-63,us US,R,SMU
1986,ATL,Kevin Willis,PF,84.00,220,6-Sep-62,us US,1,Michigan State
1987,ATL,Jon Koncak,C,84.00,250,17-May-63,us US,1,SMU
1987,ATL,Kevin Willis,PF,84.00,220,6-Sep-62,us US,2,Michigan State
1988,ATL,Jon Koncak,C,84.00,250,May 17 1963,us US,2,SMU
1988,ATL,Kevin Willis,PF,84.00,220,September 6 1962,us US,3,Michigan State
1989,ATL,Jon Koncak,C,84.00,250,17-May-63,us US,3,SMU
1990,ATL,Jon Koncak,C,84.00,250,17-May-63,us US,4,SMU
1990,ATL,Kevin Willis,PF,84.00,220,6-Sep-62,us US,4,Michigan State
1991,ATL,Jon Koncak,C,84.00,250,May 17 1963,us US,5,SMU
1991,ATL,Kevin Willis,PF,84.00,220,September 6 1962,us US,5,Michigan State
1992,ATL,Blair Rasmussen,C,84.00,250,November 13 1962,us US,6,Oregon
1992,ATL,Jon Koncak,C,84.00,250,May 17 1963,us US,6,SMU
1992,ATL,Kevin Willis,PF,84.00,220,September 6 1962,us US,6,Michigan State
1993,ATL,Blair Rasmussen,C,84.00,250,13-Nov-62,us US,7,Oregon
1993,ATL,Jon Koncak,C,84.00,250,17-May-63,us US,7,SMU
1993,ATL,Kevin Willis,PF,84.00,220,6-Sep-62,us US,7,Michigan State
1994,ATL,Jon Koncak,C,84.00,250,May 17 1963,us US,8,SMU
1994,ATL,Kevin Willis,PF,84.00,220,September 6 1962,us US,8,Michigan State
1995,ATL,Jon Koncak,C,84.00,250,May 17 1963,us US,9,SMU
1995,ATL,Kevin Willis,PF,84.00,220,September 6 1962,us US,9,Michigan State
1996,ATL,Todd Mundt,C,84.00,250,17-May-70,us US,R,"Memphis, Delta State University"
2004,ATL,Jason Collier,C,84.00,260,September 8 1977,us US,3,Indiana Georgia Tech
2004,ATL,Mamadou N'Diaye,C,84.00,255,June 16 1975,sn SN,3,Auburn
2004,ATL,eljko Rebra?a,C,84.00,257,April 9 1972,rs RS,2,
2005,ATL,Jason Collier,C,84.00,260,8-Sep-77,us US,4,"Indiana, Georgia Tech"
2005,ATL,Kevin Willis,C,84.00,220,6-Sep-62,us US,19,Michigan State
2006,ATL,John Edwards,C,84.00,275,31-Jul-81,us US,1,Kent State University
2010,ATL,Jason Collins,C,84.00,255,December 2 1978,us US,8,Stanford
2011,ATL,Jason Collins,C,84.00,255,December 2 1978,us US,9,Stanford
2012,ATL,Jason Collins,C,84.00,255,2-Dec-78,us US,10,Stanford
2013,ATL,Johan Petro,C,84.00,247,January 27 1986,fr FR,7,
2018,ATL,Dewayne Dedmon,C,84.00,245,12-Aug-89,us US,4,USC
2019,ATL,Alex Len,C,84.00,250,16-Jun-93,ua UA,5,Maryland
2019,ATL,Dewayne Dedmon,C,84.00,245,12-Aug-89,us US,5,USC
2019,ATL,Isaac Humphries,C,84.00,255,5-Jan-98,au AU,R,Kentucky
2019,ATL,Tyler Zeller,C,84.00,253,17-Jan-90,us US,6,UNC
2020,ATL,Alex Len,C,84.00,250,June 16 1993,ua UA,6,Maryland
2020,ATL,Dewayne Dedmon,C,84.00,245,August 12 1989,us US,6,USC
2023,ATL,Frank Kaminsky,C,84.00,240,April 4 1993,us US,7,Wisconsin
1995,BOS,Eric Montross,C,84.00,270,23-Sep-71,us US,R,UNC
1996,BOS,Alton Lister,C,84.00,240,1-Oct-58,us US,13,Arizona State
1996,BOS,Charles Claxton,C,84.00,265,13-Dec-70,vi VI,R,Georgia
1996,BOS,Eric Montross,C,84.00,270,23-Sep-71,us US,1,UNC
1996,BOS,Todd Mundt,C,84.00,250,17-May-70,us US,R,"Memphis, Delta State University"
1997,BOS,Alton Lister,C,84.00,240,October 1 1958,us US,14,Arizona State
1997,BOS,Steve Hamer,C,84.00,245,November 13 1973,us US,R,Tennessee
1998,BOS,Travis Knight,C,84.00,235,13-Sep-74,us US,1,UConn
1998,BOS,an Tabak,C,84.00,245,15-Jun-70,hr HR,3,
1999,BOS,Eric Riley,C,84.00,245,2-Jun-70,us US,4,Michigan
2001,BOS,Mark Blount,C,84.00,230,30-Nov-75,us US,R,Pitt
2002,BOS,Mark Blount,C,84.00,230,30-Nov-75,us US,1,Pitt
2003,BOS,Mark Blount,C,84.00,230,November 30 1975,us US,2,Pitt
2004,BOS,Chris Mihm,C,84.00,265,16-Jul-79,us US,3,Texas
2004,BOS,Mark Blount,C,84.00,230,30-Nov-75,us US,3,Pitt
2005,BOS,Mark Blount,C,84.00,230,30-Nov-75,us US,4,Pitt
2006,BOS,Mark Blount,C,84.00,230,November 30 1975,us US,5,Pitt
2006,BOS,Michael Olowokandi,C,84.00,269,April 3 1975,ng NG,7,University of the Pacific
2007,BOS,Michael Olowokandi,C,84.00,269,April 3 1975,ng NG,8,University of the Pacific
2009,BOS,Patrick O'Bryant,C,84.00,260,June 20 1986,us US,2,Bradley
2011,BOS,Nenad KrstiAAAAAAAA,C,84.00,240,25-Jul-83,rs RS,6,
2011,BOS,Semih Erden,C,84.00,240,28-Jul-86,tr TR,R,
2012,BOS,Ryan Hollins,C,84.00,240,October 10 1984,us US,5,UCLA
2013,BOS,Darko Mili?i?,C,84.00,250,June 20 1985,rs RS,9,
2013,BOS,Fab Melo,C,84.00,255,June 20 1990,br BR,R,Syracuse
2013,BOS,Jason Collins,C,84.00,255,December 2 1978,us US,11,Stanford
2015,BOS,Tyler Zeller,C,84.00,253,17-Jan-90,us US,2,UNC
2016,BOS,Tyler Zeller,C,84.00,253,January 17 1990,us US,3,UNC
2017,BOS,Tyler Zeller,C,84.00,253,17-Jan-90,us US,4,UNC
2020,BOS,Vincent Poirier,C,84.00,235,17-Oct-93,fr FR,R,
2024,BOS,Neemias Queta,C,84.00,245,13-Jul-99,pt PT,2,Utah State University
2014,BRK,Jason Collins,C,84.00,255,December 2 1978,us US,12,Stanford
2015,BRK,Jerome Jordan,C,84.00,253,September 29 1986,jm JM,1,Tulsa
2016,BRK,Andrea Bargnani,C,84.00,245,26-Oct-85,it IT,9,
2007,CHA,Ryan Hollins,C,84.00,240,10-Oct-84,us US,R,UCLA
2008,CHA,Ryan Hollins,PF,84.00,240,October 10 1984,us US,1,UCLA
2009,CHA,DeSagana Diop,C,84.00,300,30-Jan-82,sn SN,7,
2009,CHA,Ryan Hollins,C,84.00,240,10-Oct-84,us US,2,UCLA
2010,CHA,DeSagana Diop,C,84.00,300,30-Jan-82,sn SN,8,
2010,CHA,Tyson Chandler,C,84.00,235,2-Oct-82,us US,8,
2011,CHA,DeSagana Diop,C,84.00,300,January 30 1982,sn SN,9,
2012,CHA,Byron Mullens,C,84.00,275,February 14 1989,us US,2,Ohio State
2012,CHA,DeSagana Diop,C,84.00,300,January 30 1982,sn SN,10,
2013,CHA,Brendan Haywood,C,84.00,268,27-Nov-79,us US,11,UNC
2013,CHA,Byron Mullens,PF,84.00,275,14-Feb-89,us US,3,Ohio State
2013,CHA,DeSagana Diop,C,84.00,300,30-Jan-82,sn SN,11,
2014,CHA,Justin Hamilton,C,84.00,260,April 1 1990,us US,R,Iowa State LSU
1990,CHH,Stuart Gray,C,84.00,235,27-May-63,pa PA,5,UCLA
1996,CHH,Donald Hodge,C,84.00,230,25-Feb-69,us US,4,Temple
1996,CHH,George ZAAAAAAAAdek,C,84.00,250,2-Aug-73,cz CZ,R,UCLA
1996,CHH,Matt Geiger,C,84.00,243,10-Sep-69,us US,3,"Auburn, Georgia Tech"
1997,CHH,George ZAAAAAAAAdek,C,84.00,250,2-Aug-73,cz CZ,1,UCLA
1997,CHH,Matt Geiger,C,84.00,243,10-Sep-69,us US,4,"Auburn, Georgia Tech"
1998,CHH,Matt Geiger,C,84.00,243,September 10 1969,us US,5,Auburn Georgia Tech
1983,CHI,Jawann Oldham,C,84.00,215,4-Jul-57,us US,2,Seattle University
1984,CHI,Jawann Oldham,C,84.00,215,July 4 1957,us US,3,Seattle University
1984,CHI,Wallace Bryant,C,84.00,245,July 14 1959,es ES,R,San Francisco
1985,CHI,Jawann Oldham,C,84.00,215,4-Jul-57,us US,4,Seattle University
1986,CHI,Jawann Oldham,C,84.00,215,4-Jul-57,us US,5,Seattle University
1986,CHI,Mike Smrek,C,84.00,250,31-Aug-62,ca CA,R,Canisius
1987,CHI,Brad Sellers,PF,84.00,210,December 17 1962,us US,R,Wisconsin Ohio State
1988,CHI,Brad Sellers,SF,84.00,210,December 17 1962,us US,1,Wisconsin Ohio State
1989,CHI,Brad Sellers,PF,84.00,210,17-Dec-62,us US,2,"Wisconsin, Ohio State"
1989,CHI,Will Perdue,C,84.00,240,29-Aug-65,us US,R,Vanderbilt
1990,CHI,Will Perdue,C,84.00,240,August 29 1965,us US,1,Vanderbilt
1991,CHI,Will Perdue,C,84.00,240,August 29 1965,us US,2,Vanderbilt
